Customer Name|Order ID|Date|Product IDs|Quantities|Total Price
john123|ORD1234|2024-12-01|P001,P002|2,1|250.00
emily456|ORD1235|2024-12-02|P003|3|120.00
admin001|ORD1236|2024-12-03|P004,P005|1,2|310.00
david890|ORD1237|2024-12-01|P002,P003|1,4|220.00
sara789|ORD1238|2024-12-02|P006|2|180.00
maria567|ORD1239|2024-12-03|P001|5|500.00
alice123|ORD1240|2024-12-01|P007,P008|1,1|400.00
peter999|ORD1241|2024-12-02|P002,P009|3,2|300.00
mary|ORD1242|2024-12-03|P010|1|100.00
bruce456|ORD1243|2024-12-01|P011,P012|2,3|450.00
john123|ORD1244|2024-12-02|P001|1|50.00
sara789|ORD1245|2024-12-03|P001|1|50.00
maria567|ORD1246|2024-12-01|P001|1|50.00
alice123|ORD1247|2024-12-02|P001|1|50.00
mary|ORD1248|2024-12-03|P001|1|50.00
mary|OD123|2024-12-13|P001|3|30
mary|ORD123|2024-02-04|P001|2|20
mary|ORD1234|2024-05-04|P001|2|1000
mary|ORD12345|2024-02-13|P002|2|100
mary|ORD123|2024-03-04|P003|2|80
mary|123|2024-04-05|P005|1|100
john123|123|2024-03-03|P010|2|20
john123|123|2024-04-03|P010|2|20
